,Date,Price,Open,High,Low,Vol.,Change %
361,12/01/1992,"1,373.00","1,322.00","1,378.00","1,322.00",,4.02%
362,11/01/1992,"1,320.00","1,113.00","1,320.00","1,113.00",,18.81%
363,10/01/1992,"1,111.00","1,034.00","1,111.00","1,033.00",,6.72%
364,09/01/1992,"1,041.00","1,069.00","1,069.00","1,041.00",,-2.98%
365,08/01/1992,"1,073.00","1,055.00","1,081.00","1,052.00",,1.23%
366,07/01/1992,"1,060.00","1,079.00","1,094.00","1,047.00",,-2.84%
367,06/01/1992,"1,091.00","1,261.00","1,261.00","1,091.00",,-13.89%
368,05/01/1992,"1,267.00","1,219.00","1,288.00","1,219.00",,4.19%
369,04/01/1992,"1,216.00","1,179.00","1,216.00","1,143.00",,3.05%
370,03/01/1992,"1,180.00","1,223.00","1,232.00","1,180.00",,-3.44%
371,02/01/1992,"1,222.00","1,421.00","1,421.00","1,222.00",,-14.55%
372,01/01/1992,"1,430.00","1,491.00","1,534.00","1,430.00",,-4.28%
373,12/01/1991,"1,494.00","1,581.00","1,581.00","1,492.00",,-5.98%
374,11/01/1991,"1,589.00","1,654.00","1,659.00","1,589.00",,-3.99%
375,10/01/1991,"1,655.00","1,528.00","1,655.00","1,528.00",,8.60%
376,09/01/1991,"1,524.00","1,548.00","1,553.00","1,522.00",,-1.36%
377,08/01/1991,"1,545.00","1,460.00","1,545.00","1,436.00",,5.39%
378,07/01/1991,"1,466.00","1,699.00","1,699.00","1,466.00",,-13.92%
379,06/01/1991,"1,703.00","1,758.00","1,758.00","1,678.00",,-3.07%
380,05/01/1991,"1,757.00","1,624.00","1,757.00","1,612.00",,8.06%
381,04/01/1991,"1,626.00","1,599.00","1,632.00","1,579.00",,1.06%
382,03/01/1991,"1,609.00","1,707.00","1,780.00","1,609.00",,-5.58%
383,02/01/1991,"1,704.00","1,482.00","1,704.00","1,482.00",,15.68%
384,01/01/1991,"1,473.00","1,447.00","1,473.00","1,432.00",,1.87%
385,12/01/1990,"1,446.00","1,365.00","1,456.00","1,365.00",,7.27%
386,11/01/1990,"1,348.00","1,311.00","1,348.00","1,280.00",,2.98%
387,10/01/1990,"1,309.00","1,167.00","1,330.00","1,155.00",,12.07%
388,09/01/1990,"1,168.00","1,203.00","1,203.00","1,168.00",,-3.31%
389,08/01/1990,"1,208.00","1,175.00","1,237.00","1,175.00",,3.69%
390,07/01/1990,"1,165.00","1,082.00","1,165.00","1,056.00",,6.98%
391,06/01/1990,"1,089.00","1,301.00","1,305.00","1,089.00",,-16.17%
392,05/01/1990,"1,299.00","1,355.00","1,355.00","1,299.00",,-4.56%
393,04/01/1990,"1,361.00","1,528.00","1,528.00","1,361.00",,-10.99%
394,03/01/1990,"1,529.00","1,603.00","1,629.00","1,529.00",,-4.68%
395,02/01/1990,"1,604.00","1,642.00","1,642.00","1,576.00",,-2.43%
396,01/01/1990,"1,644.00","1,599.00","1,669.00","1,599.00",,3.27%
397,12/01/1989,"1,592.00","1,640.00","1,640.00","1,584.00",,-3.69%
398,11/01/1989,"1,653.00","1,647.00","1,688.00","1,647.00",,0.36%
399,10/01/1989,"1,647.00","1,424.00","1,647.00","1,424.00",,15.99%
400,09/01/1989,"1,420.00","1,426.00","1,441.00","1,413.00",,-0.42%
401,08/01/1989,"1,426.00","1,392.00","1,427.00","1,379.00",,2.37%
402,07/01/1989,"1,393.00","1,414.00","1,414.00","1,376.00",,-1.42%
403,06/01/1989,"1,413.00","1,587.00","1,587.00","1,390.00",,-11.47%
404,05/01/1989,"1,596.00","1,641.00","1,751.00","1,596.00",,-2.03%
405,04/01/1989,"1,629.00","1,619.00","1,629.00","1,614.00",,-0.12%
406,03/01/1989,"1,631.00","1,563.00","1,647.00","1,563.00",,5.02%
407,02/01/1989,"1,553.00","1,608.00","1,608.00","1,495.00",,-4.08%
408,01/01/1989,"1,619.00","1,544.00","1,650.00","1,544.00",,4.93%
409,12/01/1988,"1,543.00","1,501.00","1,543.00","1,485.00",,2.80%
410,11/01/1988,"1,501.00","1,378.00","1,517.00","1,378.00",,9.32%
411,10/01/1988,"1,373.00","1,275.00","1,373.00","1,275.00",,8.11%
412,09/01/1988,"1,270.00","1,272.00","1,289.00","1,266.00",,-0.16%
413,08/01/1988,"1,272.00","1,196.00","1,272.00","1,190.00",,6.27%
414,07/01/1988,"1,197.00","1,206.00","1,210.00","1,171.00",,-0.95%
415,06/01/1988,"1,208.50","1,328.50","1,328.50","1,208.50",,-10.42%
416,05/01/1988,"1,349.00","1,345.00","1,455.50","1,339.00",,-0.66%
417,04/01/1988,"1,358.00","1,612.00","1,612.00","1,358.00",,-16.02%
418,03/01/1988,"1,617.00","1,562.50","1,648.50","1,562.00",,3.42%
419,02/01/1988,"1,563.50","1,399.50","1,568.50","1,399.50",,12.24%
420,01/01/1988,"1,393.00","1,270.00","1,402.50","1,270.00",,10.25%
421,12/01/1987,"1,263.50","1,183.50","1,271.00","1,183.50",,7.49%
422,11/01/1987,"1,175.50","1,172.50","1,175.50","1,152.00",,0.34%
423,10/01/1987,"1,171.50","1,052.00","1,171.50","1,052.00",,12.11%
424,09/01/1987,"1,045.00","1,105.00","1,105.00","1,026.00",,-5.94%
425,08/01/1987,"1,111.00",982.50,"1,129.00",982.50,,13.77%
426,07/01/1987,976.50,874.00,976.50,874.00,,11.03%
427,06/01/1987,879.50,"1,069.50","1,069.50",879.50,,-17.84%
428,05/01/1987,"1,070.50","1,025.00","1,102.00","1,025.00",,5.00%
429,04/01/1987,"1,019.50",998.00,"1,033.00",998.00,,2.82%
430,03/01/1987,991.50,856.50,991.50,856.50,,16.30%
431,02/01/1987,852.50,861.50,861.50,848.00,,-1.62%
432,01/01/1987,866.50,703.00,866.50,703.00,,23.96%
433,12/01/1986,699.00,736.00,736.00,693.50,,-5.22%
434,11/01/1986,737.50,784.00,787.00,737.50,,-6.23%
435,10/01/1986,786.50,794.50,795.50,784.00,,-1.63%
436,09/01/1986,799.50,672.00,800.00,672.00,,20.41%
437,08/01/1986,664.00,556.00,664.00,554.00,,19.96%
438,07/01/1986,553.50,585.50,585.50,553.50,,-5.47%
439,06/01/1986,585.50,665.00,665.00,585.50,,-11.95%
440,05/01/1986,665.00,658.00,669.00,644.50,,0.91%
441,04/01/1986,659.00,732.50,732.50,659.00,,-10.16%
442,03/01/1986,733.50,734.00,748.00,733.00,,-0.47%
443,02/01/1986,737.00,827.50,827.50,737.00,,-11.31%
444,01/01/1986,831.00,897.50,919.50,831.00,,-7.46%
445,12/01/1985,898.00,916.00,921.50,893.50,,-1.86%
446,11/01/1985,915.00,906.50,915.00,890.50,,1.10%
447,10/01/1985,905.00,905.50,906.00,868.50,,1.29%
448,09/01/1985,893.50,738.50,893.50,735.00,,21.07%
449,08/01/1985,738.00,718.50,741.50,711.50,,1.72%
450,07/01/1985,725.50,864.50,864.50,725.50,,-16.85%
451,06/01/1985,872.50,931.00,931.50,872.50,,-6.33%
452,05/01/1985,931.50,"1,062.00","1,062.00",931.50,,-12.37%
453,04/01/1985,"1,063.00","1,018.50","1,064.50","1,018.50",,4.57%
454,03/01/1985,"1,016.50",984.00,"1,016.50",979.50,,3.30%
455,02/01/1985,984.00,973.50,986.50,965.50,,1.29%
