,Column1.period,Column1.productId,Column1.productName,Column1.activityId,Column1.activityName,Column1.countryRegionId,Column1.countryRegionName,Column1.countryRegionTypeId,Column1.countryRegionTypeName,Column1.unit,Column1.unitName,Column1.dataFlagId,Column1.dataFlagDescription,Column1.value
36,2019-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80647.09677237796
37,2019-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82318.7921916417
38,2019-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81252.85485216067
39,2019-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81715.99461052573
40,2019-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81577.0250482904
41,2019-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82102.29004103791
42,2019-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82265.78655215159
43,2019-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82352.30702002249
44,2019-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82550.30210615529
45,2018-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,84193.85600311168
46,2018-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,84585.02057509459
47,2018-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,84301.43370731093
48,2018-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,83304.64347368422
49,2018-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,83336.83982218674
50,2018-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82841.78041753486
51,2018-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82302.44906364994
52,2018-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81889.74351471198
53,2018-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82086.13780453804
54,2018-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82346.23118595463
55,2018-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82354.3969323221
56,2018-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82227.91459109091
57,2017-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81634.92413592928
58,2017-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82119.3494827765
59,2017-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81541.27643518378
60,2017-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81364.58432495875
61,2017-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81215.41000861065
62,2017-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81725.02580321241
63,2017-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81332.39952318533
64,2017-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80799.96750353255
65,2017-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80202.35472294607
66,2017-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80645.2769693765
67,2017-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81120.29326615664
68,2017-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81325.78299751513
69,2016-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82279.631
70,2016-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,82831.178
71,2016-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81832.065
72,2016-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80674.691
73,2016-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80314.991
74,2016-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80884.465
75,2016-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80126.071
76,2016-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,79413.009
77,2016-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80204.962
78,2016-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80979.948
79,2016-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81094.286
80,2016-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81838.853
81,2015-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81893.8991871
82,2015-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81712.7811871
83,2015-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81039.0801871
84,2015-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81088.4861871
85,2015-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81196.0111871
86,2015-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,81457.7301871
87,2015-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80942.9771871
88,2015-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80488.1471871
89,2015-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80578.1771871
90,2015-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80948.3231871
91,2015-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80032.0901871
92,2015-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80131.9271871
93,2014-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80868.00741280412
94,2014-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80002.89541280411
95,2014-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,80195.07941280412
96,2014-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,79194.94641280411
97,2014-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,78453.68441280411
98,2014-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,78166.23841280412
99,2014-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77884.37841280412
100,2014-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77612.5464128041
101,2014-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77380.34441280412
102,2014-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77579.3334128041
103,2014-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,78246.40741280411
104,2014-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77724.05641280412
105,2013-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77507.0097694
106,2013-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77102.5227694
107,2013-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76794.1967694
108,2013-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76526.4167694
109,2013-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76998.2267694
110,2013-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77231.6337694
111,2013-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76711.7967694
112,2013-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76620.9277694
113,2013-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76745.9447694
114,2013-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76378.0827694
115,2013-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76161.6827694
116,2013-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76377.0087694
117,2012-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76974.86351043225
118,2012-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77089.47151043224
119,2012-10,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76556.14651043224
120,2012-09,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,75955.06151043224
121,2012-08,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76506.60651043223
122,2012-07,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76521.11351043225
123,2012-06,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76310.81551043224
124,2012-05,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76504.27851043224
125,2012-04,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,77212.19551043224
126,2012-03,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76877.95251043224
127,2012-02,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76975.13151043224
128,2012-01,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76731.48151043223
129,2011-12,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76553.79766097397
130,2011-11,57,Crude oil including lease condensate,1,Production,WORL,World,r,Region,TBPD,thousand barrels per day,,,76173.43166097398
